cim,origTitle,forgalmazo,bemutato,bevetel,latogato
"FÉRJ ÉS FÉLESÉG","ACCIDENTAL HUSBAND",PALACEPICTURES,2009/08/27,63995800,67633
"COLLOTERÁL - A HALÁL ZÁLOGA",COLLATERAL,"UIP DUNA FILM",2004/10/21,63995137,69157
"GNÓMEÓ ÉS JÚLIA","GNOMEO AND JULIET","FÓRUM HUNGARY",2011/02/10,63943255,48503
"SIKOLY 3.",,"UIP DUNA FILM",2000/05/25,63938889,125786
BELPHEGOR,,"BEST HOLLYWOOD",2001/09/13,63926165,90440
"ELŐZŐ ÉLETEK","PAST LIVES",MOZINET,2024/01/11,63903984,29589
"A FEKETE ÖTVEN ÁRNYALATA","FIFTY SHADES OF BLACK","BIG BANG MEDIA",2016/02/04,63833226,47662
"TOY STORY 2",,INTERCOM,2000/04/13,63581084,146144
TESTCSERE,"CHANGE UP","UIP DUNA FILM",2011/11/24,63415128,53400
"MINDEN, MINDENHOL, MINDENKOR","EVERYTHING EVERYWHERE ALL AT ONCE ",PROROM,2022/04/21,63128256,35181
"BŰBÁJ HERCEG ÉS A NAGY VARÁZSLAT",CHARMING,ADS,2018/04/26,63120653,48539
"NANNY MCPHEE","NANNY MCPHEE","UIP DUNA FILM",2006/02/16,62989860,78253
"KERTVÁROSI KOMMANDÓ","THE WATCH",INTERCOM,2012/10/11,62912679,49257
MOTOROSOK,"THE BIKERIDERS",UIP,2024/06/20,62890665,26860
SZEPLŐTLEN,IMACULAT,FORUM,2024/03/21,62866034,26810
"CSINGILING - A SZÁRNYAK TITKA ","TINKER BELL: SECRET OF THE WINGS","FÓRUM HUNGARY",2012/08/23,62864296,45688
"ELNÖK VÉGVESZÉLYBEN","WHITE HOUSE DOWN",INTERCOM,2013/08/29,62843202,47229
"LOOPER - A JÖVŐ GYILKOSA",LOOPER,PROVIDEO,2012/09/27,62771670,53946
"X AKTÁK",,INTERCOM,1998/10/22,62763722,161334
"RUBEN BRANDT, A GYŰJTŐ","RUBEN BRANDT, A GYŰJTŐ",MOZINET,2018/11/15,62762741,46814
"ELLIOTT, A SÁRKÁNY","PETE'S DRAGON","FÓRUM HUNGARY",2016/08/18,62688361,49294
"AZ ÉLET SZÉP",,"BUDAPEST FILM",1999/04/08,62686337,149478
RIDDICK,RIDDICK,PROVIDEO,2013/09/05,62681803,48130
"LEVELEK JÚLIÁNAK","LETTERS TO JULIET","FÓRUM HUNGARY",2010/08/05,62679360,58050
"AZ ANGYAL",,"UIP DUNA FILM",1997/06/18,62540910,204835
"FŰRÉSZ 3.","SAW 3.","BUDAPEST FILM",2007/01/04,62454333,61186
"RUBY GILLMAN, TINIKRÁKEN","RUBY GILLMAN, TEENAGE KRAKEN ",UIP,2023/06/29,62280610,35100
"FARKASOK SZÖVETSÉGE",,"BEST HOLLYWOOD",2001/05/10,62182016,99338
"PASIK ÉS CSAJOK",,"UIP DUNA FILM",2000/09/14,62151639,109452
"UTOLSÓ GYÉMÁNTRABLÁS","AFTER THE SUNSET",INTERCOM,2005/01/27,62134614,66023
KONSTRUKCIÓ,"HYPNOTIC ",FORUM,2023/06/08,62016090,29529
VIHARZÓNA,,INTERCOM,2000/08/31,61948109,105166
"KŐKEMÉNY CSALÁD","FAMILY STONE",INTERCOM,2005/12/22,61945611,66812
"A GÖMB",,INTERCOM,1998/04/23,61836411,172005
"TAD, AZ UTOLSÓ FELFEDEZŐ","TADEO JONES 2: EL SECRETO DEL REY MIDAS","UIP DUNA FILM",2018/01/04,61795611,48695
"AZ A BIZONYOS ELSŐ ÉV","I GIVE IT A YEAR","BUDAPEST FILM",2013/02/28,61778667,46572
"A LEGSÖTÉTEBB ÓRA","THE DARKEST HOUR",INTERCOM,2011/12/22,61763075,41118
"JACK RYAN: ÁRNYÉKÜGYNÖK","JACK RYAN","UIP DUNA FILM",2014/01/16,61698091,46038
"CSUPASZ PISZTOLY",,"UIP DUNA FILM",1994/06/30,61632250,433654
"RÓMÁNAK SZERETETTEL","TO ROME WITH LOVE","BIG BANG MEDIA",2012/08/30,61527947.269999996,50573
"AZ ÜRESFEJŰ","MEET DAVE",INTERCOM,2008/08/14,61218449,62309
"A BARÁTSÁGOS ÓRIÁS","THE BFG ",FREEMAN,2016/08/25,61086445,44598
"MARS MENTŐAKCIÓ",,INTERCOM,2000/06/08,61082785,112391
"SULLY - CSODA A HUDSON FOLYÓN",SULLY,INTERCOM,2016/09/08,61068445,44125
"TÖKÉLETES HANG 3","PITCH PERFECT 3","UIP DUNA FILM",2017/12/28,61058655,44909
"TINTIN KALANDJAI","THE ADVENTURES OF TINTIN:SECRET OF THE UNICORN",INTERCOM,2011/11/03,60979738,49139
"A 23-AS SZÁM","THE NUMBER 23",INTERCOM,2007/05/17,60933075,59511
SZIKLA,,INTERCOM,1996/08/01,60917818,266290
NAPSZÁLLTA,NAPSZÁLLTA,MOZINET,2018/09/27,60818666,48361
"EGY ZUHANÁS ANATÓMIÁJA","ANATOMIE D'UNE CHUTE",MOZINET,2023/11/30,60771391,27673
"MÁR MEGINT EGY DILIS AMCSI FILM",,INTERCOM,2002/03/28,60734908,81298
"FINAL FANTASY",,INTERCOM,2001/08/23,60702857,91012
"KAPTÁR 2. - APOKALIPSZIS","RESIDENT EVIL 2.",SPI,2005/01/13,60628805,68035
"AZ AJTÓ","AZ AJTÓ",MOKÉP-PANNÓNIA,2012/03/08,60620605,64410
"A HOLLÓ","THE CROW",FORUM,2024/08/22,60574669,25768
"A BELSŐ EMBER","INSIDE MAN","UIP DUNA FILM",2006/03/23,60521092,61868
"KILENC ÉLET","NINE LIVES","BIG BANG MEDIA",2016/09/08,60437176,47823
SODRÓDÁS,ADRIFT,FREEMAN,2018/07/05,60369292,42192
"KÉMKÖLYKÖK 4D: A VILÁG MINDEN ","SPY KIDS: ALL THE TIME IN THE WORLD IN 4D",SPI/FÓRUM,2011/10/27,60262173,43675
"EGY BOLTKÓROS NAPLÓJA","CONFESSION OF A SHOPAHOLIC","FÓRUM HUNGARY",2009/04/09,60241513,58561
"ÖSSZESEKÜVÉS ELMÉLET",,INTERCOM,1998/01/01,60223041,176535
"LIBABŐR 2 – HULLAJÓ HALLOWEEN","GOOSEBUMPS 2: HAUNTED HALLOWEEN",INTERCOM,2018/10/25,60166700,50996
SZMOKINGER,"THE TUXEDO","UIP DUNA FILM",2002/11/21,60118327,74219
ÓRÁK,HOURS,"UIP DUNA FILM",2003/03/06,60064975,86937
"DELFINES KALAND 2","DOLPHIN TALE 2",INTERCOM,2014/09/25,59898920,54845
"AZ EMLÉKEK ŐRE","THE GIVER","BIG BANG MEDIA",2014/09/11,59867296,47317
JÓREMÉNYSÉG-SZIGET,JÓREMÉNYSÉG-SZIGET,"POZITIVO DIGITAL KFT",2022/11/17,59859309,33396
"SZERELEM HÁLÓJÁBAN",,INTERCOM,1999/03/18,59857763,135306
"A NAGY DURRANÁS 2.",,INTERCOM,1993/12/17,59813386,464897
BEAVATÁS,RECRUITS,INTERCOM,2003/04/17,59800180,73871
"MÁS VILÁG",,"BUDAPEST FILM",2002/03/14,59767042,78669
"HIBÁS RON","RON'S GONE WRONG ",FORUM,2021/10/21,59752174,43134
"ELLENSÉG A KAPUKNÁL",,"UIP DUNA FILM",2001/04/19,59749967,92728
"ÉJJEL A PARTON","NIGHTS IN RODANTHE",INTERCOM,2008/10/30,59712620,54770
"HÉ,HAVER,HOL A KOCSIM",,INTERCOM,2001/04/05,59625439,93749
"GYÖNYÖRŰ ESKÜVŐ","BEAUTIFUL WEDDING",FORUM,2024/05/16,59567476,26165
"TÖBB,MINT TESTŐR",,INTERCOM,1993/04/09,59514052,562334
HIDEGHEGY,"COLD MOUNTAIN",INTERCOM,2004/03/11,59471060,70929
JUNIOR,,"UIP DUNA FILM",,59368991,363981
"HÉT ÉV TIBETBEN",,INTERCOM,1998/02/26,59366916,174573
"PEPPERMINT - A BOSSZÚ ANGYALA",PEPPERMINT,FREEMAN,2018/09/27,59360261,41587
ARANY,GOLD,FREEMAN,2017/02/16,59312080,39549
POCAHONTAS,,INTERCOM,1998/11/25,59208492,370625
"JACKIE BROWN",,"UIP DUNA FILM",1999/03/25,59136409,127703
"ŐSERDŐK HŐSE",,INTERCOM,1998/11/13,59057946,213593
"TÖKÖS CSAJ","THE HOT CHICK",INTERCOM,2003/05/15,58982088,77490
"MR. MAGOO",,INTERCOM,1998/07/23,58874482,153793
"ÉJFÉLKOR PÁRIZSBAN","MIDNIGHT IN PARIS","BUDAPEST FILM",2011/11/10,58704011,52497
IFJÚSÁG,YOUTH,MOZINET,2015/12/24,58634594,44929
"MÉLYTENGERI POKOL","DEEPWATER HORIZON",FREEMAN,2016/09/29,58609274,48493
"HIRTELEN 30","SUDDENLY 30",INTERCOM,2004/07/22,58532499,67135
"ÁLLJON MEG A NÁSZMENET",,INTERCOM,1998/12/04,58494891,178002
"EL A KEZEKKEL A PAPÁMTÓL!","EL A KEZEKKEL A PAPÁMTÓL!",INTERCOM,2021/12/09,58486018,37930
CASPER,,"UIP DUNA FILM",1998/09/14,58328496,344729
"A TEMETELEN HALOTT",,"BUDAPEST FILM",2004/10/21,58274906,122901
"NEM VÉNNEK VALÓ VIDÉK","NO COUNTRY FOR OLD MEN","UIP DUNA FILM",2008/03/06,58223291,58236
LEPATTINTVA,"FORGETTING SARAH MARSHALL","UIP DUNA FILM",2008/04/24,58087835,54282
AVIATOR,AVIATOR,MOKÉP,2005/02/24,58076969,70029
"SWAT - KÜLÖNLEGES KOMMANDÓ",S.W.A.T.,INTERCOM,2003/11/20,58057268,68254
"RÉMÁLMOK SIKÁTORA","NIGHTMARE ALLEY ",FORUM,2022/02/03,58027539,32953
ELŐRE,ONWARD,"FÓRUM HUNGARY",2020/03/05,58006676,40327
"APOKALIPSZIS ANGYALAI - BÍBOR FOLYÓK 2","LE RIVIERES POURPES 2",SPI,2004/10/14,57964994,62813
"ÉGETŐ BIZONYÍTÉK","BURN AFTER READING","BUDAPEST FILM",2008/11/27,57852402,54055
DOBOZTROLLOK,BOXTROLLS,"UIP DUNA FILM",2014/10/16,57449611,45144
HULLAADÁS,THANKSGIVING,FORUM,2023/12/07,57448940,24575
"HORRORRA AKADVA 4","SCARY MOVIE 4","FÓRUM HUNGARY",2006/04/27,57413106,63371
MAG,"THE CORE","UIP DUNA FILM",2003/04/17,57400875,72235
"STARSKY ÉS HUTCH","STARSKY AND HUTCH",INTERCOM,2004/04/15,57396413,62913
"A MARTFŰI RÉM",STRANGLED,"BIG BANG MEDIA",2016/11/10,57258965,46096
"HOGYAN LEGYÉL LATIN SZERETŐ","HOW TO BE A LATIN LOVER","BIG BANG MEDIA",2017/05/04,57255076,40599
"JACK REACHER","JACK REACHER","UIP DUNA FILM",2013/01/03,57242593,43428
"ZIMMER FERI",,MOKÉP,1998/01/15,57233693,177020
"JULIE & JULIA  - KÉT NŐ EGY RECEPT","JULIE & JULIA",INTERCOM,2009/10/15,57211422,51639
"15 PERC HÍRNÉV",,KINOWELT,2001/05/24,57002155,85714
"ESZEVESZETT MESÉK","RELATOS SALVAJES",MOZINET,2014/12/18,56990470,43295
"TÁGRA ZÁRT SZEMEK",,INTERCOM,1999/11/18,56905853,114940
NYÓCKER,,HUNGARICOM,2004/12/09,56648250,113258
"POLAR EXPRESSZ","POLAR EXPRES",INTERCOM,2004/12/09,56640614,77551
"A KÖR","THE CIRCLE","BIG BANG MEDIA",2017/04/27,56627124,38747
"NAGY ZŰR KORZIKÁN ","LENQUETE CORSE","BEST HOLLYWOOD",2005/01/13,56601132,60732
TÉBOLY,UNHINGED,VERTICAL,2020/09/10,56583070,36293
BORDERLANDS,BORDERLANDS,PROROM,2024/08/08,56545736,23323
"BARBIE - TITKOS ÜGYNÖK","BARBIE SPY SQUAD","UIP DUNA FILM",2016/02/04,56446840,45034
"BOLDOGÍTÓ TALÁN, A","MADE OF HONOR",INTERCOM,2008/06/19,56340727,53485
"ROBIN HOOD","ROBIN HOOD",FREEMAN,2018/12/06,56336061,38964
"BETÖRŐ AZ ALBÉRLŐM",LADYKILLERS,INTERCOM,2004/06/17,56256719,85050
"A RÍTUS","THE RITE",INTERCOM,2011/03/10,56192860,47264
"A HARC MESTERE",,"BEST HOLLYWOOD",2000/12/28,56172379,83227
"COCO CHANEL","COCO CHANEL",SPI/FÓRUM,2009/06/25,56100143,55443
"ÁVE CÉZÁR","HAIL, CAESAR!","UIP DUNA FILM",2016/02/25,56036067,39284
"HOLMES ÉS WATSON","HOLMES AND WATSON",INTERCOM,2018/12/27,56029029,39262
KIRÁLYNŐ,"THE QUEEN","BUDAPEST FILM",2007/07/18,56022416,67547
"ANGYALOK VÁROSA",,INTERCOM,1998/11/05,55986786,138009
"A KÁRHOZAT ÚTJA","ROAD TO PERDITION",INTERCOM,2002/11/07,55951839,68630
"AZ EGÉSZSÉG ELLENSZERE","A CURE FOR WELLNESS",INTERCOM,2017/02/16,55855650,39593
ANASTASIA,,INTERCOM,1998/03/26,55757933,211805
SZÖRNYELLA,CRUELLA,FORUM,2021/06/10,55616587,36030
"BIRODALOM VISSZAVÁG",,INTERCOM,1998/04/10,55555986,200363
"MILLIÓ DOLLÁROS BÉBI","MILLION DOLLAR BABY","FFILM-UIP DUNA FILM",2005/03/10,55351209,66266
"TÁMADÁS A FEHÉR HÁZ ELLEN","OLYMPUS HAS FALLEN",PROVIDEO,2013/04/04,55285556,40204
"MIELŐTT MEGHALTAM","DALLAS BUYERS CLUB",PROVIDEO,2014/03/06,55276144,39410
"VÁGY ÉS VEZEKLÉS",ATONEMENT,"UIP DUNA FILM",2008/01/24,55244002,57246
"A FANTASZTIKUS NÉGYES ÉS AZ EZÜST UTAZÓ","FANTASTIC FOUR: RISE OF THE SILVER SURFER",INTERCOM,2007/07/19,55199334,58608
"MONTE CHRISTO GRÓFJA",,INTERCOM,2002/06/06,55197440,70588
"APJA LÁNYA","JERSEY GIRL",SPI,2004/09/23,55188036,58816
ZUHANÁS,,INTERCOM,2000/02/03,55141180,98188
"MAX PAYNE - EGYSZEMÉLYES HÁBORÚ","MAX PAYNE",INTERCOM,2008/10/30,55102660,50769
"ZÖLD DARÁZS","THE GREEN HORNET",INTERCOM,2011/01/13,55047076,40134
"ZÖLD LÁMPÁS","GREEN LANTERN",INTERCOM,2011/08/11,54949154,41471
"A VILÁG LEGROSSZABB EMBERE","THE WORST PERSON IN THE WORLD ",MOZINET,2022/01/20,54947075,35593
"ASTEROID CITY","ASTEROID CITY",UIP,2023/06/08,54877847,26657
WATERWORLD,,"UIP DUNA FILM",1998/10/19,54840349,301961
"HITMAN - A BÉRGYILKOS",HITMAN,INTERCOM,2007/11/22,54820514,53538
"A KAPTÁR – RACCOON CITY VISSZAVÁR","RESIDENT EVIL: WELCOME TO RACCOON CITY ",INTERCOM,2022/01/06,54645355,31062
"APOLLÓ 13.",,"UIP DUNA FILM",1998/11/02,54640505,303279
"KINCSES BOLYGÓ","TREASURE PLANET",INTERCOM,2002/12/19,54640285,84322
IDEGLELÉS,,"BUDAPEST FILM",1999/12/30,54622315,106734
"MALAC A PÁCBAN","CHARLOTTES WEB","UIP DUNA FILM",2007/02/15,54619220,63294
YAMAKASI,,"BEST HOLLYWOOD",2001/08/16,54542422,81096
"A VÍZ ÉRINTÉSE","THE SHAPE OF WATER","FÓRUM HUNGARY",2018/02/22,54507455,37638
"A SEJT",,KINOWELT,2000/11/23,54479783,85164
"A ZONGORISTA","THE PIANIST","BEST HOLLYWOOD",2003/03/20,54462624,81805
"CSALÁDI TESTCSERE","LE SENS DE LA FAMILLE ",ADS,2021/12/30,54353916,31336
HALÁLSORON,,FLAMEX,2000/04/06,54342955,96457
"FEHÉR ISTEN","FEHÉR ISTEN",INTERCOM,2014/06/12,54131151,44942
"DEMON SLAYER: TO THE HASHIRA TRAINING","DEMON SLAYER: KIMETSU NO YAIBA",INTERCOM,2024/02/22,54075835,21513
ESTE,EVENING,SPI,2007/09/27,54031594,63445
"MÉG EGY KÖRT MINDENKINEK",DRUK,VERTIGO,2021/07/01,54027619,39371
"10 DOLOG AMIT UTÁLOK",,INTERCOM,1999/07/15,53944236,120056
"CSEKÉLY ESÉLY","LONG SHOT / FLARSKY",FREEMAN,2019/06/20,53813714,36426
"PADDINGTON 2","PADDINGTON 2",FREEMAN,2017/11/30,53806476,42639
"BEVERLY HILLS-I ZSARU 3.",,"UIP DUNA FILM",1994/08/11,53729482,372839
"BOR, MÁMOR PROVENCE","GOOD YEAR",INTERCOM,2006/11/16,53727311,56450
"SZELLEMEK HÁZA",WINCHESTER,VERTIGO,2018/03/15,53727159,36481
"MOSZKVA TÉR",,"BUDAPEST FILM",2001/09/20,53714469,85787
"A KARÁCSONY MENTŐAKCIÓ","SANTA & CIE",ADS,2018/11/29,53562810,43967
"SZERELEM A KOLERA IDEJÉN","LOVE IN THE TIME OF CHOLERA","FÓRUM HUNGARY",2008/02/14,53487148,56222
ÁLOMCSAPDA,DREAMCATCHER,INTERCOM,2003/06/19,53469201,68205
AVA,AVA,PROROM,2020/07/02,53462888,33792
CLIFFHANGER,,INTERCOM,1993/07/16,53446742,476123
PAPÍRKUTYÁK,,CINEMASTAR,2009/02/19,53372120,81397
LARRY,LARRY,MOZINET,2022/12/01,53362680,28575
"A TESTŐR",SENTINEL,INTERCOM,2006/08/17,53346031,67768
"HIRTELEN 70!","MACK & RITA",ADS,2023/03/02,53343770,25982
BABEL,BABEL,"BUDAPEST FILM",2007/02/01,53326519,61037
"HÁROM TESTŐR AFRIKÁBAN",,"BUDAPEST FILM",1996/10/03,53322262,228233
KIKÉPZÉS,,INTERCOM,2002/03/07,53288175,68507
"DRIVE- GÁZT! ",DRIVE,"FÓRUM HUNGARY",2011/09/15,53282543,43403
"AMERIAKI TAXI",TAXI,INTERCOM,2004/12/02,53119207,59780
GOLDENEYE,,"UIP DUNA FILM",1998/12/14,53009921,277246
"57 MÁSODPERC","57 SECONDS",VERTIGO,2023/10/05,52992630,25548
"A BUROK","THE HOST",PROVIDEO,2013/03/28,52976685.89,40927
"GOOD WILL HUNTING",,"UIP DUNA FILM",1999/02/25,52897714,121475
"KETTŐS JÁTÉK",DUPLICITY,"UIP DUNA FILM",2009/04/30,52661970,48016
MACSKÁK,CATS,"UIP DUNA FILM",2019/12/26,52585104,37820
LESKELŐDŐ,,INTERCOM,2001/07/26,52539993,74531
"MONA LISA MOSOLYA","MONA LISA SMILE",INTERCOM,2004/01/15,52521847,59451
"12 MAJOM",,"UIP DUNA FILM",1996/05/09,52471693,248460
"ÉJJELI NAPFÉNY","MIDNIGHT SUN",FREEMAN,2018/04/19,52430498,39251
ALADDIN,,INTERCOM,1993/12/03,52413713,489651
"DAREDEVIL A FENEGYEREK",DAREDEVIL,INTERCOM,2003/03/27,52151454,68552
"ASTERIX - AZ ISTENEK OTTHONA","ASTÉRIX LE DOMAINE DES DIEUX",INTERCOM,2014/12/25,52149333,38952
"ÖLD MEG RÓMEÓT",,INTERCOM,2000/09/28,52127316,87665
"LARRY CROWN","LARRY CROWNE",PROVIDEO,2011/06/30,52118560,42097
"A RÓZSASZÍN PÁRDUC 2.","PINK PANTHER 2.",INTERCOM,2009/02/12,52067654,48630
"A (SZ)EX AZ OKA MINDENNEK","SLEEPING WITH OTHER PEOPLE","BIG BANG MEDIA",2015/09/10,52051025,39630
"TAXI 5","TAXI 5","BIG BANG MEDIA",2018/05/03,52033986,37010
"X – A RENDSZERBŐL TÖRÖLVE","X – A RENDSZERBŐL TÖRÖLVE",INTERCOM,2018/11/01,51998377,37469
"SIN CITY: ÖLNI TUDNÁL ÉRTE","SIN CITY A DAME TO KILL FOR","A COMPANY",2014/08/21,51970711,36772
"ÖRDÖG MAGA",,INTERCOM,1998/04/17,51954392,176156
RAGADOZÓK,,"UIP DUNA FILM",1997/01/16,51900803,191713
"HÍD TERABITHIA FÖLDJÉRE","BRIDGE TO TERABITHIA",SPI,2007/02/22,51878535,55187
"TŰNJ EL !","GET OUT","UIP DUNA FILM",2017/04/20,51859621,35712
"ANNA KARENINA","ANNA KARENINA","UIP DUNA FILM",2013/01/24,51845948,43659
"METRÓ-KÉT TÚSZ KÖZÖTT",,INTERCOM,1998/05/29,51829786,172887
ANACONDA,,INTERCOM,1998/08/21,51719364,179770
"AZ ELSŐ ÓMEN","THE FIRST OMEN",FORUM,2024/04/04,51713581,21814
"LOST IN SPACE",,FLAMEX,1998/12/03,51710884,121801
FÉKTELENÜL,,INTERCOM,1994/08/11,51642638,341968
"22 MÉRFÖLD","MILE 22",FREEMAN,2018/10/25,51568160,41231
BEN-HUR,BEN-HUR,"FÓRUM HUNGARY",2016/08/18,51438715,34757
RENFIELD,RENFIELD,UIP,2023/04/13,51398735,25392
"SZERELEM SOKADIK LÁTÁSRA","A LOT LIKE LOVE",INTERCOM,2005/06/02,51398413,66906
ROBOTOK,ROBOTS,INTERCOM,2005/03/24,51078586,67365
"UTÁNUNK A TŰZÖZÖN",,FLAMEX,1997/08/28,51050846,163390
"UTÓDOK ","THE DESCANDANTS",INTERCOM,2012/02/16,51050732,41039
"BOGYÓ ÉS BABÓCA 6. - CSENGETTYŰK","BOGYÓ ÉS BABÓCA 6. - CSENGETTYŰK","KEDD KFT.",2024/03/28,51049484,24161
"SZÜLETETT HAZUDOZÓ","NATURAL BORN LIAR",ADS,2022/08/18,50971985,32181
"12 ÉV RABSZOLGASÁG",,PROVIDEO,2014/01/02,50957925,37090
"COP LAND",,FLAMEX,1998/03/19,50912637,138175
"AZ ERIN BROKOVICH ÜGY",,INTERCOM,2000/04/20,50821449,93827
"JÓSZOMSZÉDI ISZONY",DUPLEX,"UIP DUNA FILM",2004/01/22,50815669,57054
KAMPÓKÉZ,"CANDYMAN ",FORUM,2021/08/26,50749799,32275
"PENGE - SZENTHÁROMSÁG","BLADE: TRINITY",INTERCOM,2005/03/03,50739198,56712
"A NEGYEDIK","I AM NUMBER 4","FÓRUM HUNGARY",2011/02/17,50702970,44048
"ELI KÖNYVE","THE BOOK OF ELI",INTERCOM,2010/02/25,50678775,43646
"KÖZELEBB !",CLOSER,INTERCOM,2005/02/17,50634620,55870
HARMADNAPOSOK,"A FEW BEST MEN","FÓRUM HUNGARY",2012/05/31,50441108,39762
#KÖVESSBE,"FOLLOW ME",ADS,2020/08/06,50418839,32670
"MAGIC MIKE","MAGIC MIKE","BIG BANG MEDIA",2012/08/09,50393347,40594
"NICSAK KI BESZÉL",,INTERCOM,1990/04/12,50385349,1062108
"CÁPASRÁC ÉS CÁPALÁNY KALANDJAI 3D-BEN.","ADVENTURES OF SHARK BOY AND LAVA GIRLS",INTERCOM,2005/10/06,50356617,66925
"DRÁGÁN ADD A RÉTEDET","FURRY VENGEANCE","FÓRUM HUNGARY",2010/06/24,50330410,47999
"ÁLMOMBAN MÁR LÁTTALAK","MAID IN MANHATTAN",INTERCOM,2003/03/06,50320200,64602
"AZ ÚJ MUTÁNSOK","NEW MUTANTS","FÓRUM HUNGARY",2020/09/03,50304685,33057
BALHÉ,"CRIME SPREE","BEST HOLLYWOOD",2003/11/13,50256185,56547
"16 UTCA",,"BEST HOLLYWOOD",2006/07/13,50246075,53876
"NICSAK KI BESZÉL...MÉG!",,INTERCOM,1991/03/22,50216992,802980
"ÚJ CSAPÁS",,INTERCOM,2000/08/10,50180246,88016
"COWBOYOK ÉS ŰRLÉNYEK","COWBOYD AND ALIENS","UIP DUNA FILM",2011/08/25,50157335,41365
"DŐL A MONÉ",GAMBIT,PROVIDEO,2013/03/14,50130246,37460
KÓPÉ,TROUBLE,FREEMAN,2019/09/12,50108585,38185
"A FELEJTÉS BÉRE",PAYCHECK,"UIP DUNA FILM",2004/02/19,50100224,53980
"ARTHUR - MALTAZÁR BOSSZÚJA","ARTHUR AND THE REVENGE OF MALTHAZARD","FÓRUM HUNGARY",2009/12/03,50089250,50824
"HOGYAN ÍRJUNK SZERELMET","THE REWRITE","BIG BANG MEDIA",2014/12/25,50085075,35357
"TAYLOR SWIFT: THE ERAS TOUR","TAYLOR SWIFT: THE ERAS TOUR",PANNONIA,2023/11/02,50006680,18575
FENEVAD,"BEAST ",UIP,2022/08/11,49992821,30322
FÜGGŐSÉG,TWISTED,SPI,2004/08/05,49970530,53947
"VÉGZETES HAZUGSÁGOK",ARBITRAGE,"BIG BANG MEDIA",2012/12/27,49967778,37774
"BUKÓS SZAKASZ",CHIPS,INTERCOM,2017/03/26,49965139,35465
"ÁTKOZOTT BOSZORKÁK",,INTERCOM,1999/01/07,49881604,113390
"MY LITTLE PONY - A FILM","MY LITTLE PONY: THE MOVIE",FREEMAN,2017/10/12,49760280,41126
ALELNÖK,VICE,"FÓRUM HUNGARY",2019/02/21,49748976,31753
"FEHÉR POKOL","THE GREY",PROVIDEO,2012/03/22,49742374,37358
"SWEENEY TODD - A FLEET STREET DÉMONI BORDÉLYA","SWEENEY TODD",INTERCOM,2008/02/21,49704991,50016
"MINT A KÁMFOR",,"UIP DUNA FILM",1998/11/26,49695335,108587
NÉGYBALKÉZ,,INTERCOM,2001/11/08,49662001,66175
KÍSÉRTETKASTÉLY,"HAUNTED MANSION ",FORUM,2023/07/27,49641060,24464
"SOCIAL NETWORK-A KÖZÖSSÉGI HÁLÓ,","THE SOCIAL NETWORK",INTERCOM,2010/11/11,49586346,45424
"TUDSZ TITKOT TARTANI?","CAN YOU KEEP A SECRET?",ADS,2019/11/21,49571924,31990
"TITKOK KULCSA","SKELETON KEY","UIP DUNA FILM",2005/08/25,49550313,54488
POSEIDON,"POSEIDON ADVENTURE",INTERCOM,2006/06/22,49328779,53568
"TÖKÉLETES GYILKOSSÁG",,INTERCOM,1998/11/19,49321508,109985
ÉTELMŰVÉSZ,BURNT,"FÓRUM HUNGARY",2015/10/22,49235751,33941
"ESEMÉNY, AZ","HAPPENING, THE",INTERCOM,2008/06/19,49209556,45257
"APÓSOK AKCIÓBAN","IN LAVS",INTERCOM,2003/12/25,49167377,54559
"ELSŐ A SZERELEM",PRIME,SPI,2006/02/16,49144674,52011
"SOS LOVE ","SOS LOVE","FÓRUM HUNGARY",2011/12/15,49133315,36801
VADÁSZIDÉNY,"OPEN SEASON",PROROM,2024/01/04,49086015,20631
UNDERWOLD:EVOLUTION,UNDERWORLD:EVOLUTION,SPI,2006/04/27,49077222,52207
MACSKA-JAJ,,"BUDAPEST FILM",1999/08/19,49073005,116442
SZÖKEVÉNY,,INTERCOM,1994/01/27,49055639,345809
ANNIE,ANNIE,INTERCOM,2015/01/22,48885368,38143
"A VÉGZET EREKLYÉI: CSONTVÁROS","THE MORTAL INSTRUMENTS: CITY OF BONES",PROVIDEO,2013/08/29,48883571,39260
"ABRAHAM LINCOLN, A VÁMPÍRVADÁSZ","ABRAHAM LINCOLN: VAMPIRE HUNTER",INTERCOM,2012/08/09,48853312,32825
"HOLTAK HAJNALA","DAWN OF THE DEAD","UIP DUNA FILM",2004/07/15,48797884,56236
STREETFIGHTER,,INTERCOM,1998/06/22,48746427,289950
"ÍZLÉSEK ÉS POFONOK","NO RESERVATION",INTERCOM,2007/09/13,48664428,47980
"CSALÁDI VAKÁCIÓ - IRÁNY IBIZA!",IBIZA,ADS,2019/08/22,48646215,31479
"STEP UP","STEP UP","BUDAPEST FILM",2006/12/21,48598733,50468
SPANCSEREK,"I LOVE YOU MAN","UIP DUNA FILM",2009/04/23,48545375,45678
"SLEEPERS- POKOLI LECKE",,"BUDAPEST FILM",1997/04/03,48538767,147829
"SZINGLI FEJVADÁSZ","ONE FOR THE MONEY","BIG BANG MEDIA",2012/02/02,48450595,39255
"NANNY MCPHEE-ÉS A NAGY BUMM","NANNY MCPHEE 2","UIP DUNA FILM",2010/05/10,48414245,52875
