cim,origTitle,forgalmazo,bemutato,bevetel,latogato
KINCSEM,KINCSEM,"FÓRUM HUNGARY",2017/03/16,594593379,456666
"JUMANJI - VÁR A DZSUNGEL","JUMANJI: WELCOME TO THE JUNGLE",INTERCOM,2017/12/21,590858225,402348
"GYŰRŰK URA – A GYŰRŰ SZÖVETSÉGE",,INTERCOM,2002/01/10,582248714,804209
"TITANIC: 25. ÉVFORDULÓ","TITANIC: 25TH ANNIVERSARY  ",FORUM,2023/02/09,571620804,1083107
"BAD BOYS – MINDÖRÖKKÉ ROSSZFIÚK","BAD BOYS FOR LIFE",INTERCOM,2020/01/16,570782831,346022
"STAR WARS 1.RÉSZ",,INTERCOM,1999/09/16,568408086,1195019
"A WALL STREET FARKASA","THE WOLF OF WALL STREET",PROVIDEO,2013/12/26,565430842,420801
"BOSSZÚÁLLÓK : ULTRON KORA","AVENGERS: AGE OF ULTRON","FÓRUM HUNGARY",2015/05/07,563652869,385865
"GYŰRŰRK URA – A KÉT TORONY","LORD OF THE RINGS-THE TWO TOWER",INTERCOM,2003/01/09,561096986,708289
"THOR : RAGNARÖK","THOR : RAGNAROK","FÓRUM HUNGARY",2017/11/02,558692502,373123
"DEADPOOL 2","DEADPOOL 2","FÓRUM HUNGARY",2018/05/17,556014374,385841
"HARRY POTTER ÉS A FŐNIX RENDJE","HARRY POTTER AND THE ORDER OF THE PHOENIX",INTERCOM,2007/07/12,555973621,610268
"A MÉHÉSZ","THE BEEKEEPER",FORUM,2024/01/11,552076884,225059
"HALÁLOS IRAMBAN 7","FAST AND FURIOUS 7","UIP DUNA FILM",2015/04/02,550579100,406074
"HARRY POTTER ÉS A TŰZ SERLEGE","HARRY POTTER AND THE GOBLET OF FIRE",INTERCOM,2005/12/01,542845756,629855
"PÓKEMBER: IDEGENBEN","SPIDER-MAN: FAR FROM HOME ",INTERCOM,2019/07/04,541398180,354652
VENOM,VENOM,INTERCOM,2018/10/04,540252395,356648
"VALAMI AMERIKA 3","VALAMI AMERIKA 3",VERTIGO,2018/02/15,539863126,372866
"HOTEL TRANSYLVANIA 3. - SZÖRNYEN RÉMES VAKÁCIÓ","HOTEL TRANSYLVANIA 3: SUMMER VACATION",INTERCOM,2018/07/12,539513375,406056
"SKYFALL ",SKYFALL,"FÓRUM HUNGARY",2012/10/26,531912896,408127
"A HOBBIT: VÁRATLAN UTAZÁS","THE HOBBIT: AN UNEXPECTED JOURNEY","FÓRUM HUNGARY",2012/12/13,529360986,372950
"VOLT EGYSZER EGY HOLLYWOOD","ONCE UPON A TIME IN HOLLYWOOD",INTERCOM,2019/08/15,528964129,349435
"JÉGKORSZAK  2","ICE AGE 2",INTERCOM,2006/03/30,528331642,615891
"HARRY POTTER ÉS A FÉLVÉR HERCEG ( 6 )","HARRY POTTER AND THE HALF BLOOD PRINCE(6)",INTERCOM,2009/07/23,526808340,492012
"A KARIB-TENGER KALÓZAI: ISMERETLEN VIZEKEN","PIRATES OF THE CARIBBEAN: ON STRANGER TIDES","FÓRUM HUNGARY",2011/05/19,520663511,389192
"LEGENDÁS ÁLLATOK - GRINDELWALD BŰNTETTEI","FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD",INTERCOM,2018/11/15,520058651,331756
"A GRINCS","THE GRINCH","UIP DUNA FILM",2018/12/06,519635228,384790
MÁTRIX-ÚJRATÖLTVE,"MATRIX RELOADED",INTERCOM,2003/05/22,518670637,670548
"HARRY POTTER ÉS A TITKOK KAMRÁJA","HARRY POTTER AND THE CHAMBER OF SECRETS",INTERCOM,2002/12/05,517280271,675087
"007 NINCS IDŐ MEGHALNI","NO TIME TO DIE ",FORUM,2021/09/30,516747064,305298
"ÍGY NEVELD A SÁRKÁNYODAT 2.","HOW TO TRAIN YOUR DRAGON 2. (3D)",INTERCOM,2014/06/19,498680295,382288
"A SZÜRKE ÖTVEN ÁRNYALATA","FIFTY SHADES OF GREY","UIP DUNA FILM",2015/02/12,497486080,376131
"A DA VINCI KÓD","THE DA VINCI CODE ",INTERCOM,2006/05/18,494576261,538293
EREDET,INCEPTION,INTERCOM,2010/07/22,489743199,445641
"HALÁLOS IRAMBAN 8","THE FATE OF THE FURIOUS","UIP DUNA FILM",2017/04/13,488495417,341789
"NAGYFATER ELSZABADUL","DIRTY GRANDPA",FREEMAN,2016/01/28,488427749,351321
"SUPER MARIO BROS.: A FILM","SUPER MARIO BROS. THE MOVIE",UIP,2023/04/06,487720564,249144
"AZ ELVESZETT VÁROS","THE LOST CITY ",UIP,2022/04/21,487214401,284201
ALADDIN,ALADDIN,"FÓRUM HUNGARY",2019/05/23,484769622,324015
"A KARIB-TENGER KALÓZAI: SALAZÁR BOSSZÚJA","PIRATES OF THE CARIBBEAN: DEAD MEN TELL NO TALES","FÓRUM HUNGARY",2017/05/25,484081466,334409
"AQUAMAN ÉS AZ ELVESZETT KIRÁLYSÁG","AQUAMAN AND THE LOST KINGDOM",INTERCOM,2023/12/21,479555748,192413
"VALAMI AMERIKA 2.",,"BUDAPEST FILM",2008/12/18,469954797,448738
"HALÁLOS IRAMBAN 10.","FAST X ",UIP,2023/05/18,465554855,224453
"INDIANA JONES ÉS A SORS TÁRCSÁJA","INDIANA JONES AND THE DIAL OF DESTINY",FORUM,2023/06/29,464630757,226796
VISZKIS,VISZKIS,INTERCOM,2017/11/23,463542918,332791
"A VISZKIS","A VISZKIS",INTERCOM,2017/11/23,463504918,332761
TITANIC,,INTERCOM,1998/01/22,462434316,1017457
"VENOM 2. – VÉRONTÓ","VENOM: LET THERE BE CARNAGE ",INTERCOM,2021/10/14,458965583,279829
"LEGENDÁS ÁLLATOK ÉS MEGFIGYELÉSÜK – DUMBLEDORE TITKAI","FANTASTIC BEASTS: THE SECRETS OF DUMBLEDORE",INTERCOM,2022/04/14,454675887,254633
"KUNG FU PANDA 4","KUNG FU PANDA 4",UIP,2024/03/21,453554625,200878
"ZOOTROPOLIS - ÁLLATI NAGY BALHÉ",ZOOTOPIA,"FÓRUM HUNGARY",2016/03/03,453390459,346016
DŰNE,DUNE,INTERCOM,2021/10/21,453039751,272006
"KARIB-TENGER KALÓZAI: HOLTAK KINCSE","PIRATES OF THE CARIBBEAN: DEAD MANS CHEST","FÓRUM HUNGARY",2006/07/20,447394838,533117
BUÉK,BUÉK,INTERCOM,2018/12/06,445826976,304423
"VASEMBER 3 ","IRON MAN 3","FÓRUM HUNGARY",2013/04/25,444713548,303459
"FEKETE PÁRDUC 2.","BLACK PANTHER: WAKANDA FOREVER ",FORUM,2022/11/10,441882624,209845
"JÉGKORSZAK- A NAGY BUMM","ICE AGE: COLLISION COURSE",INTERCOM,2016/07/14,439357938,330415
